1	1
1	0
2	2
2	1
3	4
3	3
4	5
5	6
5	5
6	6
6	7
7	8
7	7
8	8
8	9
8	10
9	10
10	12
10	10
10	11
11	12
12	14
12	12
12	13
13	14
14	16
14	14
14	15
15	16
16	18
16	20
16	16
16	17
17	20
17	18
18	20
18	22
19	22
19	20
20	24
20	22
20	23
21	24
22	28
22	26
22	27
22	24
22	25
23	28
24	28
24	30
24	29
25	30
26	30
26	32
26	31
27	32
28	34
28	32
28	33
28	36
29	34
29	36
30	36
30	38
30	37
31	38
31	40
32	40
32	38
32	42
32	41
33	42
34	42
34	44
34	43
35	44
35	46
36	46
36	48
36	44
36	47
37	48
38	50
38	48
38	49
39	50
40	50
40	51
40	52
41	52
42	52
42	54
42	53
42	55
44	54
44	56
44	55
44	58
44	57
45	58
46	58
46	60
46	59
46	62
47	60
47	62
48	62
48	64
48	63
49	64
50	64
50	66
50	65
50	68
50	67
50	70
50	69
51	70
51	72
52	70
52	72
52	74
52	73
53	74
54	74
54	76
54	75
54	78
54	77
55	78
56	78
56	80
56	79
56	81
56	82
57	82
58	82
59	82
60	82
64	92
64	93
64	94
65	94
66	97
66	98
